Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single cell type group specificity"	"RNA single cell type group distribution"	"RNA single cell type group specificity score"	"RNA single cell type group specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	"Protein cell type specificity"	"Protein cell type distribution"	"Protein cell type specificity score"	"Protein cell type specific Intensity"	"Protein tissue specificity"	"Protein tissue distribution"	"Protein tissue specificity score"	"Protein tissue specific Intensity"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
AAAS		ENSG00000094914	"Aladin WD repeat nucleoporin"	Q9NRG9	12	53307456-53324864	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cytotrophoblasts: 70.4;Oocytes: 101.3"	"Cell type enhanced"	"Detected in all"		"Oocytes: 101.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Kidney - Fibroblasts, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 5243473.3"	HPA040086	Approved		Supported	"Nucleoplasm,Nuclear membrane,Centrosome,Cytosol,End piece"			NA	NA			"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 49: Non-specific - Transcription"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 38: Non-specific - Transcription"	"Cluster 63: Cytotrophoblasts - Basic cellular functions"	16	"Nuclear membrane"	"Nucleoplasm, Centrosome, Cytosol, End piece"	"HPA040086: "	"unprognostic (6.85e-2)"	"unprognostic (1.26e-2)"	"unprognostic (4.77e-1)"	"unprognostic (1.58e-1)"	"unprognostic (2.15e-1)"	"unprognostic (3.25e-2)"	"unprognostic (1.81e-1)"	"unprognostic (7.49e-2)"	"unprognostic (2.13e-1)"	"unprognostic (2.43e-3)"	"potential prognostic favorable (9.31e-4)"	"unprognostic (1.04e-1)"	"unprognostic (2.56e-1)"	"unprognostic (2.39e-3)"	"unprognostic (6.98e-2)"	"unprognostic (2.81e-3)"	"unprognostic (3.90e-2)"	"unprognostic (2.64e-1)"	"unprognostic (2.45e-2)"	"unprognostic (2.99e-2)"	"unprognostic (9.22e-3)"	"unprognostic (1.27e-1)"	"unprognostic (1.67e-3)"	"unprognostic (3.16e-1)"	"unprognostic (6.20e-3)"	"unprognostic (8.83e-2)"	"unprognostic (5.15e-2)"	"unprognostic (3.82e-1)"	"unprognostic (1.40e-1)"	"unprognostic (7.28e-2)"	"unprognostic (5.75e-2)"
AAGAB	"FLJ11506, p34"	ENSG00000103591	"Alpha and gamma adaptin binding protein"	Q6PD74	15	67200667-67255195	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Protein transport, Transport"		"Palmoplantar keratoderma"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Keratinocytes: 2897120.3"	"Tissue enhanced"	"Detected in many"		"intestine: 1052866.0"	"HPA039371, HPA040174"	Supported		Supported	"Nuclear speckles,Cytosol"			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 76: Non-specific - Metabolism"	"Cluster 14: Neurons - Synaptic function"	"Cluster 58: Non-specific - Nuclear processes"	"Cluster 7: Non-specific - Transcription"	15	"Nuclear speckles, Cytosol"		"HPA039371: , HPA040174: "	"unprognostic (2.02e-2)"	"unprognostic (2.74e-3)"	"unprognostic (2.36e-1)"	"unprognostic (1.79e-2)"	"unprognostic (5.08e-2)"	"unprognostic (1.79e-1)"	"unprognostic (3.53e-2)"	"unprognostic (6.02e-2)"	"unprognostic (2.35e-1)"	"unprognostic (1.21e-1)"	"potential prognostic favorable (2.05e-6)"	"unprognostic (2.13e-1)"	"unprognostic (7.66e-2)"	"unprognostic (5.75e-2)"	"potential prognostic unfavorable (9.14e-4)"	"unprognostic (7.28e-3)"	"unprognostic (1.05e-1)"	"unprognostic (6.51e-2)"	"unprognostic (1.66e-1)"	"unprognostic (2.78e-1)"	"unprognostic (8.36e-2)"	"unprognostic (8.75e-2)"	"unprognostic (2.69e-2)"	"unprognostic (2.13e-1)"	"unprognostic (5.30e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.02e-1)"	"unprognostic (5.22e-1)"	"unprognostic (3.01e-3)"	"unprognostic (3.47e-2)"
AAK1	"DKFZp686K16132, KIAA1048"	ENSG00000115977	"AP2 associated kinase 1"	Q2M2I8	2	69457997-69674349	"Enzymes, Predicted intracellular proteins"	Endocytosis	"Kinase, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 83.6"	"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes and Neuropil: 20821429.6;Microglia and Neuropil: 28775099.0"	"Tissue enriched"	"Detected in many"		"cerebral cortex: 80716658.0"	"HPA017931, HPA020289"	Enhanced		Supported	"Vesicles,Plasma membrane,Cytosol"			No	No			"Cluster 11: T-cells - Unknown function"	"Cluster 69: Parathyroid gland - Mixed function"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 9: T-cells - Adaptive immunity: Regulation"	28	"Plasma membrane"	"Vesicles, Cytosol"	"HPA017931: , HPA020289: "	"unprognostic (1.64e-1)"	"unprognostic (2.95e-3)"	"unprognostic (1.48e-1)"	"unprognostic (2.32e-1)"	"unprognostic (2.02e-1)"	"unprognostic (2.48e-3)"	"unprognostic (1.07e-1)"	"unprognostic (1.15e-1)"	"unprognostic (4.66e-2)"	"potential prognostic unfavorable (6.13e-4)"	"unprognostic (6.46e-3)"	"unprognostic (7.86e-2)"	"unprognostic (5.57e-2)"	"unprognostic (2.42e-2)"	"unprognostic (8.05e-2)"	"unprognostic (2.48e-1)"	"unprognostic (1.53e-2)"	"unprognostic (2.27e-1)"	"unprognostic (9.91e-2)"	"potential prognostic unfavorable (1.45e-4)"	"unprognostic (1.43e-3)"	"unprognostic (2.71e-1)"	"potential prognostic unfavorable (9.11e-4)"	"unprognostic (1.14e-1)"	"unprognostic (6.14e-3)"	"unprognostic (1.30e-2)"	"unprognostic (5.20e-1)"	"unprognostic (9.10e-2)"	"unprognostic (1.11e-1)"	"unprognostic (8.85e-3)"	"unprognostic (6.12e-2)"
AAMDC	"C11orf67, CK067, FLJ21035, PTD015"	ENSG00000087884	"Adipogenesis associated Mth938 domain containing"	Q9H7C9	11	77821109-77918432	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"skeletal muscle: 621.6"	"Cell type enhanced"	"Detected in all"		"Myonuclei: 395.5"	"Cell type enhanced"	"Detected in all"		"Myocytes: 395.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 144.6"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			"Group enriched"	"Detected in all"		"Cardiomyocytes: 67883003.0;Skeletal myofibers: 169080885.2"	"Group enriched"	"Detected in all"		"heart muscle: 193310940.4;skeletal muscle: 593886056.8"	"HPA037918, HPA037919"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA			"Cluster 42: Non-specific - Vesicular transport"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 30: White matter - Myelination"	"Cluster 24: Non-specific - Unknown function"	"Cluster 36: Skeletal myocytes - Muscle excitation & contraction"	7	Nucleoplasm	Cytosol	"HPA037918: , HPA037919: "	"unprognostic (2.91e-2)"	"unprognostic (2.37e-1)"		"unprognostic (2.55e-1)"	"unprognostic (1.99e-1)"	"unprognostic (1.66e-1)"	"unprognostic (6.03e-2)"	"unprognostic (1.47e-2)"	"unprognostic (2.28e-2)"	"potential prognostic unfavorable (3.83e-4)"	"unprognostic (1.64e-3)"	"potential prognostic favorable (8.64e-5)"	"unprognostic (2.51e-2)"	"unprognostic (1.36e-1)"		"unprognostic (3.62e-1)"	"unprognostic (2.93e-3)"	"unprognostic (1.21e-1)"	"unprognostic (2.20e-1)"	"unprognostic (1.40e-2)"	"unprognostic (3.47e-1)"	"unprognostic (5.53e-3)"	"unprognostic (3.84e-3)"	"unprognostic (1.15e-1)"	"unprognostic (7.75e-2)"	"unprognostic (2.37e-2)"	"unprognostic (3.60e-1)"	"unprognostic (6.03e-2)"	"unprognostic (2.08e-1)"	"unprognostic (8.51e-2)"	"unprognostic (2.87e-1)"
AAMP		ENSG00000127837	"Angio associated migratory cell protein"	Q13685	2	218264129-218270178	"Essential proteins, Plasma proteins, Predicted intracellular proteins"	"Angiogenesis, Differentiation"	"Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Cytotrophoblasts: 190.5;Syncytiotrophoblasts: 240.4"	"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Tissue enriched"	"Detected in many"		"skin: 7889332.1"	"CAB017717, HPA031868"	Approved		Approved	"Plasma membrane,Microtubules,Cytokinetic bridge,Primary cilium,Primary cilium tip,Cytosol"			Yes	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	"Cluster 27: Non-specific - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 15: Non-specific - Protein processing"	23	Microtubules	"Plasma membrane, Cytokinetic bridge, Primary cilium, Primary cilium tip, Cytosol"	"CAB017717: , HPA031868: "	"unprognostic (9.46e-2)"	"unprognostic (7.23e-2)"	"unprognostic (1.01e-1)"	"unprognostic (4.68e-1)"	"unprognostic (4.95e-2)"	"unprognostic (1.07e-1)"	"unprognostic (3.88e-3)"	"unprognostic (6.15e-2)"	"unprognostic (3.67e-2)"	"unprognostic (1.25e-3)"	"potential prognostic favorable (1.15e-7)"	"unprognostic (5.58e-3)"	"potential prognostic unfavorable (7.10e-4)"	"validated prognostic unfavorable (4.27e-7)"	"validated prognostic unfavorable (9.15e-8)"	"unprognostic (8.83e-3)"	"unprognostic (1.26e-1)"	"unprognostic (8.16e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.16e-1)"	"unprognostic (3.75e-2)"	"unprognostic (9.14e-2)"	"unprognostic (1.69e-1)"	"unprognostic (5.30e-1)"	"unprognostic (9.79e-2)"	"unprognostic (2.08e-1)"	"unprognostic (8.84e-3)"	"unprognostic (7.45e-2)"	"unprognostic (2.21e-1)"	"unprognostic (3.53e-2)"
AANAT	SNAT	ENSG00000129673	"Aralkylamine N-acetyltransferase"	Q16613	17	76453351-76470117	"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"	"Biological rhythms, Melatonin biosynthesis"	"Acyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"retina: 10.2;testis: 4.5"	"Group enriched"	"Detected in some"	6	"Late spermatids: 50.3;Retinal bipolar cells: 175.9"	"Group enriched"	"Detected in some"	43	"Neuronal cells: 175.9;Spermatogenic cell types: 50.3"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA054321			Supported	Cytosol			NA	NA				"Cluster 46: Brain & retina - Neuronal signaling"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 1: Neuronal - Visual perception"	"Cluster 86: Retinal bipolar cells - Synaptic signal transduction"	7	Cytosol		"HPA054321: "						"unprognostic (3.81e-1)"	"unprognostic (3.63e-2)"																			"unprognostic (4.56e-2)"					
AAR2	"bA234K24.2, C20orf4"	ENSG00000131043	"AAR2 splicing factor"	Q9Y312	20	36236131-36270918	"Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Cell type enriched"	"Detected in some"		"Granulosa cells: 477925.0"	"Group enriched"	"Detected in many"		"cerebral cortex: 3601730.5;Stomach: 6318158.4"	"CAB034220, HPA048645"	Uncertain		Approved	Cytosol			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 12: Smooth muscle tissue - ECM organization"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 17: Non-specific - RNA processing"	86	Cytosol		"CAB034220: , HPA048645: "	"unprognostic (2.38e-2)"	"unprognostic (4.84e-2)"		"unprognostic (2.46e-2)"	"unprognostic (3.10e-1)"	"unprognostic (3.63e-1)"	"unprognostic (8.25e-2)"	"unprognostic (5.37e-2)"	"unprognostic (2.65e-2)"	"unprognostic (2.43e-1)"	"potential prognostic favorable (4.00e-6)"	"unprognostic (2.98e-3)"	"unprognostic (9.38e-2)"	"potential prognostic unfavorable (1.15e-5)"		"unprognostic (1.94e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.01e-1)"	"unprognostic (1.34e-2)"	"unprognostic (3.04e-2)"	"unprognostic (7.23e-2)"	"unprognostic (1.54e-1)"	"unprognostic (1.40e-1)"	"unprognostic (5.82e-2)"	"unprognostic (3.60e-3)"	"unprognostic (6.21e-2)"	"unprognostic (1.21e-1)"	"unprognostic (2.16e-1)"	"unprognostic (1.76e-1)"	"unprognostic (6.79e-2)"	"unprognostic (1.88e-1)"
AARS1	"AARS, AlaRS, CMT2N"	ENSG00000090861	"Alanyl-tRNA synthetase 1"	P49588	16	70251983-70289707	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"Protein biosynthesis"	"Aminoacyl-tRNA synthetase, Ligase, RNA-binding, tRNA-binding"	"Charcot-Marie-Tooth disease, Disease variant, Epilepsy, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low tissue specificity"	"Detected in all"			"CAB034261, HPA040870, HPA044223"	Supported		Supported	Cytosol			NA	NA		930000	"Cluster 33: Non-specific - ATP binding"	"Cluster 70: Non-specific - Protein processing"	"Cluster 45: Non-specific - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 65: Non-specific - Cell growth & division"	5	Cytosol		"CAB034261: , HPA040870: , HPA044223: "	"unprognostic (2.04e-3)"	"potential prognostic unfavorable (7.91e-4)"		"unprognostic (3.62e-2)"	"unprognostic (2.46e-1)"	"unprognostic (6.65e-3)"	"unprognostic (1.10e-1)"	"unprognostic (3.71e-2)"	"unprognostic (2.16e-2)"	"unprognostic (2.48e-1)"	"potential prognostic favorable (9.29e-6)"	"unprognostic (9.49e-2)"	"unprognostic (1.20e-1)"	"unprognostic (9.40e-3)"		"unprognostic (1.83e-1)"	"unprognostic (2.62e-3)"	"unprognostic (7.71e-2)"	"unprognostic (1.49e-1)"	"unprognostic (1.57e-1)"	"unprognostic (3.64e-1)"	"unprognostic (1.63e-1)"	"unprognostic (7.35e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.26e-1)"	"unprognostic (1.15e-1)"	"unprognostic (1.24e-1)"	"unprognostic (1.63e-1)"	"unprognostic (6.24e-2)"	"unprognostic (4.67e-2)"	"unprognostic (4.11e-2)"
AARSD1	"AlaXp, MGC2744"	ENSG00000266967	"Alanyl-tRNA synthetase domain containing 1"	Q9BTE6	17	42950526-42964498	"Predicted intracellular proteins"	"Protein biosynthesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Group enriched"	"Detected in some"	7	"Astrocytes: 18.3;Bergmann glia: 18.1;Brain excitatory neurons: 26.6;Brain inhibitory neurons: 29.5;Choroid plexus epithelial cells: 19.9;Ependymal cells: 14.2;Microglia: 14.5;Oligodendrocyte progenitor cells: 18.0;Oligodendrocytes: 14.4;Other brain neurons: 27.6"	"Group enriched"	"Detected in some"	8	"Ciliated cells: 19.9;Glial cells: 18.3;Neuronal cells: 29.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low tissue specificity"	"Detected in all"			"HPA021408, HPA022869, HPA023714"	Supported		Approved	"Nuclear membrane,Cytosol"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 25: Non-specific - Basic cellular processes"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 22: Non-specific - Basic cellular functions"	7	"Nuclear membrane, Cytosol"		"HPA021408: , HPA022869: , HPA023714: "	"unprognostic (3.45e-2)"	"unprognostic (2.47e-1)"	"unprognostic (1.19e-2)"	"unprognostic (6.96e-3)"	"unprognostic (8.29e-2)"	"unprognostic (3.29e-1)"	"unprognostic (2.18e-1)"	"unprognostic (2.71e-2)"	"unprognostic (2.06e-2)"	"unprognostic (9.71e-2)"	"validated prognostic favorable (1.17e-4)"	"validated prognostic favorable (3.28e-5)"	"unprognostic (1.88e-1)"	"unprognostic (6.48e-3)"	"potential prognostic unfavorable (1.18e-4)"	"unprognostic (1.73e-2)"	"unprognostic (1.36e-2)"	"unprognostic (1.11e-1)"	"unprognostic (3.71e-2)"	"unprognostic (5.87e-2)"	"unprognostic (2.31e-1)"	"unprognostic (5.90e-2)"	"unprognostic (9.94e-3)"	"unprognostic (3.59e-2)"	"unprognostic (3.09e-2)"	"unprognostic (4.32e-2)"	"unprognostic (2.27e-1)"	"unprognostic (2.61e-2)"	"unprognostic (1.84e-1)"	"unprognostic (6.09e-2)"	"unprognostic (1.13e-1)"
ABCA12	"DKFZP434G232, ICR2B, LI2"	ENSG00000144452	"ATP binding cassette subfamily A member 12"	Q86UK0	2	214931542-215138626	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"	Translocase	"Disease variant, Ichthyosis"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"breast: 5.4;skin 1: 19.6"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 62.2;Endometrial glandular cells: 61.3;Endometrial secretory cells: 78.1;Esophageal apical cells: 37.5;Esophageal suprabasal cells: 60.4;Ocular epithelial cells: 249.5;Respiratory deuterosomal cells: 35.2;Suprabasal keratinocytes: 208.9"	"Cell type enhanced"	"Detected in many"		"Barrier epithelial cells: 249.5;Secretory cells: 78.1;Suprabasal cells: 208.9"	"Cell type enhanced"	"Detected in many"		"deep-layer corticothalamic and 6b: 16.1;miscellaneous: 24.8"	"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 7.5"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 7.8"	"Breast - Breast glandular cells, Skin - Keratinocyte (granular)"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"cerebral cortex: 1.4;hippocampal formation: 1.6"	"Cell type enriched"	"Detected in single"	25712	"Keratinocytes: 2571248.9"	"Not detected"	"Not detected"			HPA078239			Approved	"Nucleoli,Vesicles,Plasma membrane,Cytosol"			NA	NA				"Cluster 37: Skin - Keratinization"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 100: Stratified epithelial cells - Barrier functions"	1	"Vesicles, Plasma membrane"	"Nucleoli, Cytosol"	"HPA078239: "	"unprognostic (7.94e-3)"	"unprognostic (3.68e-2)"	"unprognostic (7.94e-2)"	"unprognostic (1.26e-2)"		"potential prognostic favorable (2.46e-4)"		"unprognostic (2.77e-1)"	"unprognostic (2.03e-1)"		"unprognostic (2.47e-3)"	"unprognostic (1.42e-1)"	"potential prognostic unfavorable (1.28e-4)"			"potential prognostic unfavorable (7.60e-4)"	"unprognostic (6.94e-2)"	"unprognostic (8.16e-2)"	"unprognostic (2.35e-1)"				"unprognostic (1.07e-1)"			"unprognostic (1.62e-3)"	"unprognostic (4.70e-2)"	"unprognostic (7.53e-2)"			
